               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.047622,            0.025587,           0.0012713,             0.80431,             0.83007,             0.89042,             0.35742,            0.045385,            0.020039,           0.0011357,            0.003466,            0.003466,            0.003466
                  68,            0.050182,             0.02928,           0.0013297,             0.80393,             0.83077,             0.89546,              0.3561,            0.044389,             0.01985,           0.0011167,            0.003367,            0.003367,            0.003367
                  69,            0.050997,            0.028082,           0.0012123,             0.80393,             0.83077,             0.89546,              0.3561,            0.044389,             0.01985,           0.0011167,            0.003268,            0.003268,            0.003268
                  70,            0.050583,            0.025279,           0.0012819,             0.80753,              0.8366,             0.89595,             0.36966,            0.043607,             0.01977,           0.0010873,            0.003169,            0.003169,            0.003169
                  71,            0.050912,            0.027445,           0.0012816,             0.81221,              0.8366,             0.90643,             0.37774,            0.043339,            0.019747,           0.0010571,             0.00307,             0.00307,             0.00307
                  72,            0.047397,            0.026397,           0.0012474,             0.82686,             0.85621,             0.90515,             0.37387,            0.043348,            0.019795,           0.0010352,            0.002971,            0.002971,            0.002971
                  73,            0.048967,            0.024169,           0.0011533,             0.82161,             0.81278,             0.89705,             0.38245,            0.043405,            0.019497,           0.0009954,            0.002872,            0.002872,            0.002872
                  74,            0.049325,            0.025694,           0.0011441,             0.81593,             0.81123,             0.89806,             0.37228,            0.043539,            0.019418,          0.00097108,            0.002773,            0.002773,            0.002773
                  75,            0.046859,            0.027352,           0.0011933,             0.84559,             0.81046,              0.9034,             0.37796,              0.0437,            0.019391,          0.00095493,            0.002674,            0.002674,            0.002674
                  76,             0.04903,            0.023926,           0.0011699,             0.81095,             0.79739,             0.89857,             0.38585,            0.043557,            0.019402,          0.00093323,            0.002575,            0.002575,            0.002575
                  77,            0.049249,            0.028169,           0.0011605,             0.81095,             0.79739,             0.89857,             0.38585,            0.043557,            0.019402,          0.00093323,            0.002476,            0.002476,            0.002476
                  78,             0.04774,            0.029579,            0.001105,             0.81183,             0.81777,             0.89247,             0.39716,            0.044608,            0.019352,          0.00093354,            0.002377,            0.002377,            0.002377
                  79,            0.046449,            0.024047,           0.0010979,             0.82597,             0.79739,             0.89939,             0.39415,            0.043395,            0.019371,          0.00092529,            0.002278,            0.002278,            0.002278
                  80,            0.047627,            0.024594,           0.0010265,              0.8467,              0.7942,             0.90131,             0.39457,            0.042375,            0.019392,          0.00091349,            0.002179,            0.002179,            0.002179
                  81,             0.04593,             0.02181,          0.00098274,             0.89506,             0.78047,             0.91465,             0.40197,             0.04203,            0.019329,          0.00089585,             0.00208,             0.00208,             0.00208
                  82,            0.047432,            0.023495,           0.0010514,             0.89148,             0.79739,             0.92482,             0.39722,            0.041958,            0.019261,          0.00088011,            0.001981,            0.001981,            0.001981
                  83,            0.048379,             0.02161,          0.00099927,             0.86123,              0.8113,             0.92396,             0.40162,            0.041978,            0.019244,          0.00085425,            0.001882,            0.001882,            0.001882
                  84,            0.044938,            0.024466,           0.0010577,             0.88097,             0.82234,             0.93415,             0.41739,            0.040502,            0.019133,          0.00083286,            0.001783,            0.001783,            0.001783
                  85,            0.046345,            0.024413,           0.0010407,             0.88097,             0.82234,             0.93415,             0.41739,            0.040502,            0.019133,          0.00083286,            0.001684,            0.001684,            0.001684
                  86,            0.048539,            0.023452,          0.00096953,             0.89027,             0.81699,             0.93506,             0.42553,            0.040351,            0.019008,           0.0008151,            0.001585,            0.001585,            0.001585
                  87,            0.048112,            0.028998,           0.0010037,             0.86887,             0.82284,             0.92931,             0.42362,            0.040471,            0.018912,          0.00079954,            0.001486,            0.001486,            0.001486
                  88,            0.046968,            0.023199,          0.00089543,             0.87881,             0.83007,              0.9274,             0.42243,            0.040209,            0.018856,          0.00079106,            0.001387,            0.001387,            0.001387
                  89,            0.046493,            0.024336,          0.00096967,             0.83087,             0.86275,             0.93097,             0.41198,            0.040582,            0.018811,          0.00078447,            0.001288,            0.001288,            0.001288
                  90,            0.045425,            0.026525,          0.00095435,             0.82108,             0.87582,             0.93189,             0.41253,            0.040687,            0.018767,          0.00077646,            0.001189,            0.001189,            0.001189
                  91,            0.046091,            0.023574,          0.00090068,             0.83391,             0.88605,             0.93054,             0.41862,            0.040123,            0.018663,          0.00076183,             0.00109,             0.00109,             0.00109
                  92,            0.045613,             0.02515,          0.00088278,             0.88072,             0.83007,              0.9319,             0.41311,            0.040311,            0.018586,          0.00075763,            0.000991,            0.000991,            0.000991
                  93,            0.046497,            0.022261,           0.0008402,             0.88072,             0.83007,              0.9319,             0.41311,            0.040311,            0.018586,          0.00075763,            0.000892,            0.000892,            0.000892
                  94,            0.048281,            0.026474,          0.00094831,             0.87383,             0.81483,             0.92192,             0.41028,            0.040819,            0.018547,          0.00074324,            0.000793,            0.000793,            0.000793
                  95,            0.051827,             0.02371,          0.00090288,              0.8581,             0.86956,             0.93323,             0.41321,            0.040801,            0.018489,           0.0007375,            0.000694,            0.000694,            0.000694
                  96,            0.044838,            0.021889,          0.00088541,             0.85427,             0.88123,             0.93352,             0.41427,            0.040266,            0.018492,          0.00074028,            0.000595,            0.000595,            0.000595
                  97,            0.044901,            0.023601,          0.00083793,             0.85557,             0.88235,             0.93395,              0.4311,            0.039894,            0.018509,          0.00073268,            0.000496,            0.000496,            0.000496
                  98,            0.049688,            0.030061,           0.0010095,             0.85153,             0.88235,             0.93568,             0.43611,            0.039629,            0.018491,          0.00073879,            0.000397,            0.000397,            0.000397
                  99,            0.043125,            0.021014,          0.00080316,             0.84156,             0.88235,             0.93638,             0.43895,            0.039465,             0.01846,          0.00073076,            0.000298,            0.000298,            0.000298
